Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
OGEN,Oragenics Inc. Common Stock,$1.20,0.04,3.448%,5376832.00,United States,,10327,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.243,-0.018,-6.897%,14449648.00,United States,2007,811082,Industrials,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$3.93,-0.06,-1.504%,1235674530.00,,2020,64503,Basic Materials,Precious Metals
OZ,Belpointe PREP LLC Class A Units,$62.00,-1.47,-2.316%,231365648.00,,,505,,
PAPL,Pineapple Financial Inc. Common Stock,$1.3663,-0.0137,-0.993%,9812745.00,,2023,2800,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$24.30,0.00,0.00%,,United States,,116,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$20.50,0.15,0.737%,,United States,,1035,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$19.20,0.00,0.00%,,United States,,6,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$19.22,-0.48,-2.437%,,United States,,505,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$19.00,0.05,0.264%,,United States,,471,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$18.1353,-0.2047,-1.116%,,United States,,499,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$17.20,0.00,0.00%,,United States,,5,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$16.7278,0.2278,1.381%,,United States,,199,,
PED,Pedevco Corp. Common Stock,$0.8022,-0.0151,-1.848%,71680795.00,United States,,5251,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.3687,-0.011,-2.897%,20359642.00,,2019,49868,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.2415,-0.0048,-1.949%,17407786.00,China,,5553,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.38,-0.02,-1.429%,141279812.00,Canada,,231487,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.27,0.10,8.547%,92776197.00,Israel,,365481,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMNT,Perfect Moment Ltd. Common Stock,$3.3101,-0.0299,-0.895%,51814482.00,United Kingdom,2024,153,,
PRK,Park National Corporation Common Stock,$131.38,1.42,1.093%,2117383011.00,United States,1994,2170,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$2.10,0.34,19.318%,33886944.00,United States,1999,8951257,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$0.5369,-0.0244,-4.347%,1819909.00,United States,1998,8501,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$3.432,-0.3181,-8.482%,,United States,,952,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.4457,-0.0143,-3.109%,26880316.00,United States,2015,63045,Basic Materials,Precious Metals
RCG,RENN Fund Inc Common Stock,$1.59,-0.0299,-1.846%,0.00,United States,,16256,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$2.0517,0.0117,0.574%,406101602.00,United States,,444826,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$29.18,0.61,2.135%,595272934.00,United States,1999,75693,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$2.676,0.0838,3.233%,4921239.00,,2017,3250,Real Estate,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$0.48,-0.11,-18.644%,,,,100,,
RLGT,Radiant Logistics Inc. Common Stock,$5.28,0.04,0.763%,247753630.00,United States,,9422,Consumer Discretionary,Oil Refining/Marketing
RVP,Retractable Technologies Inc. Common Stock,$1.09,0.01,0.926%,32631503.00,United States,2001,58677,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$2.91,-0.06,-2.02%,55620119.00,,2024,8589,,
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$24.85,0.01,0.04%,1179034367.00,United States,2019,422,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$3.36,-0.25,-6.925%,159418731.00,United States,2017,269869,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$23.17,0.00,0.00%,,United States,,369,,
SATX,SatixFy Communications Ltd. Ordinary Share,$0.6309,0.0108,1.742%,52436744.00,,2022,7516,Technology,Radio And Television Broadcasting And Communications Equipment
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.3449,-0.0052,-1.485%,15565229.00,,2021,28531,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.05,0.02,0.08%,1188523578.00,United States,2019,400,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$24.85,-0.0499,-0.20%,1179034367.00,United States,2020,170,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$22.68,0.08,0.354%,1076076437.00,United States,,236,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$22.245,-0.145,-0.648%,1055437404.00,United States,2022,6482,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$22.63,-0.09,-0.396%,1073704134.00,United States,2022,610,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$23.50,-0.10,-0.424%,1114982199.00,United States,2022,1548,Real Estate,Real Estate Investment Trusts
SCPX,Scorpius Holdings Inc. Common Stock,$0.1615,-0.003,-1.824%,4212225.00,United States,2022,32138,Health Care,Biotechnology: Pharmaceutical Preparations
SDPI,Superior Drilling Products Inc. Common Stock,$1.105,-0.015,-1.339%,33582320.00,,2014,15702,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3179.99,2.21,0.07%,3087945189.00,United States,1996,124,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.5101,0.0221,4.529%,270693969.00,United States,,454208,Industrials,Industrial Machinery/Components
SER,Serina Therapeutics Inc. Common Stock,$11.14,0.39,3.628%,27857397.00,,2018,785,Health Care,Biotechnology: Pharmaceutical Preparations
SGE,Strong Global Entertainment Inc. Class A Common Voting Shares,$1.29,-0.15,-10.417%,10162416.00,,2023,2797,,
SGN,Signing Day Sports Inc. Common Stock,$0.4113,0.0503,13.934%,6319753.00,,2023,223541,,
SIF,SIFCO Industries Inc. Common Stock,$3.21,0.00,0.00%,19773558.00,United States,1969,6,Industrials,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$7.08,-0.09,-1.255%,1040321040.00,Canada,2018,654843,Basic Materials,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$32.50,0.00,0.00%,5006472120.00,Mexico,1998,10,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$10.70,-0.22,-2.015%,710709815.00,United States,2022,3146,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$1.13,-0.05,-4.237%,195322983.00,Canada,2021,401625,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$5.11,0.10,1.996%,244993130.00,United States,,7839,Industrials,Military/Government/Technical
SOAR,Volato Group Inc. Class A Common Stock,$2.97,0.00,0.00%,86877338.00,,2022,4479,Finance,Blank Checks
SSY,SunLink Health Systems Inc. Common Stock,$0.6715,-0.0506,-7.007%,4727765.00,United States,1996,1656,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$8.00,0.00,0.00%,51793400.00,,2023,18,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$3.13,-0.07,-2.188%,257063025.00,United States,,48214,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.785,0.005,0.132%,671376479.00,Canada,,1526218,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$12.1981,0.0981,0.811%,31023586.00,United States,1970,1102,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$3.29,0.00,0.00%,17272500.00,,2024,76,,
TELL,Tellurian Inc. Common Stock,$0.552,-0.0098,-1.744%,431881174.00,United States,,7504351,Finance,Investment Bankers/Brokers/Service
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$13.58,0.00,0.00%,10624902793.00,United States,,92,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$2.42,0.04,1.681%,698719340.00,Canada,,1179970,Basic Materials,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.684,-0.0002,-0.029%,136590314.00,Canada,,32974,,
TMP,Tompkins Financial Corporation Common Stock,$47.27,0.42,0.896%,680977198.00,United States,1997,3011,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.5058,0.0238,4.938%,81012361.00,Canada,,33690,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$1.4815,0.0015,0.101%,52132686.00,United States,,37335,Consumer Discretionary,Movies/Entertainment
TOVX,Theriva Biologics Inc. Common Stock,$0.4325,-0.0155,-3.46%,7416531.00,United States,,3135,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.156,-0.0237,-13.189%,5758244.00,,2023,5769542,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.14,0.00,0.00%,8931139.00,,,110117,Real Estate,Building operators
TRT,Trio-Tech International Common Stock,$6.68,0.01,0.15%,27852627.00,United States,1998,2480,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.44,-0.019,-4.139%,122799923.00,Canada,,223385,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.2401,-0.0025,-1.031%,25846121.00,United States,,69633,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.695,0.0102,1.489%,7569542.00,United States,,31613,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$7.1099,-0.1701,-2.337%,2873397851.00,Canada,,1596407,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$1.8346,-0.0654,-3.442%,16664297.00,,2024,32643,,
URG,Ur Energy Inc Common Shares (Canada),$1.69,-0.08,-4.52%,475948488.00,Canada,,973153,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.2531,-0.0019,-0.745%,54942351.00,Canada,2017,834058,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$26.71,0.07,0.263%,0.00,United States,2004,75338,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.70,0.0869,5.387%,3931908.00,United States,2003,38590,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.3325,-0.2175,-3.321%,1035807525.00,Canada,,557024,,
VCXB,10X Capital Venture Acquisition Corp. III Class A Ordinary Shares,$10.82,0.00,0.00%,164563436.00,,2022,7,Finance,Blank Checks
VFL,abrdn National Municipal Income Fund Common Stock,$10.07,0.02,0.199%,0.00,United States,1993,3108,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.5675,-0.015,-2.575%,68970571.00,United States,1986,48332,Basic Materials,Precious Metals
VINE,Fresh Vine Wine Inc. Common Stock,$0.7084,-0.0906,-11.339%,11317559.00,,2021,78583,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.36,0.04,0.481%,371234327.00,United States,1993,23776,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.723,-0.0247,-3.303%,59335484.00,Singapore,2015,13660,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VTAK,Catheter Precision Inc. Common Stock,$0.5001,-0.0059,-1.166%,3787459.00,,2018,2074,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$1.4101,-0.0399,-2.752%,293292084.00,,2022,294077,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.5099,-0.0301,-1.955%,245538383.00,Canada,2011,73712,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.475,0.0005,0.105%,27028418.00,United States,,46817,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$2.41,0.07,2.991%,21313252.00,United States,,9135,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.6791,-0.0015,-0.22%,54081051.00,United States,,32348,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.97,0.0237,2.504%,126310045.00,United States,,6242,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.9093,0.0084,0.932%,2768902.00,United States,2017,27185,Consumer Discretionary,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$0.72,0.00,0.00%,,United States,,52,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.44,-0.01,-0.408%,35521105.00,,2016,8988,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.1399,-0.0004,-0.285%,137094959.00,United States,2017,954205,Health Care,Biotechnology: Pharmaceutical Preparations
