Date,Open,High,Low,Close,Volume
1958-04-01,41.93,41.93,41.93,41.93,1150000
1958-04-02,41.6,41.6,41.6,41.6,1327778
1958-04-03,41.48,41.48,41.48,41.48,1183333
1958-04-07,41.33,41.33,41.33,41.33,1161111
1958-04-08,41.43,41.43,41.43,41.43,1216667
1958-04-09,41.65,41.65,41.65,41.65,1133333
1958-04-10,41.7,41.7,41.7,41.7,1111111
1958-04-11,41.74,41.74,41.74,41.74,1144444
1958-04-14,42,42,42,42,1211111
1958-04-15,42.43,42.43,42.43,42.43,1438889
1958-04-16,42.1,42.1,42.1,42.1,1244444
1958-04-17,42.25,42.25,42.25,42.25,1388889
1958-04-18,42.71,42.71,42.71,42.71,1500000
1958-04-21,42.93,42.93,42.93,42.93,1416667
1958-04-22,42.8,42.8,42.8,42.8,1355556
1958-04-23,42.8,42.8,42.8,42.8,1511111
1958-04-24,43.14,43.14,43.14,43.14,1594444
1958-04-25,43.36,43.36,43.36,43.36,1677778
1958-04-28,43.22,43.22,43.22,43.22,1333333
1958-04-29,43,43,43,43,1216667
1958-04-30,43.44,43.44,43.44,43.44,1611111
1958-05-01,43.54,43.54,43.54,43.54,1461111
1958-05-02,43.69,43.69,43.69,43.69,1272222
1958-05-05,43.79,43.79,43.79,43.79,1483333
1958-05-06,44.01,44.01,44.01,44.01,1727778
1958-05-07,43.93,43.93,43.93,43.93,1538889
1958-05-08,43.99,43.99,43.99,43.99,1550000
1958-05-09,44.09,44.09,44.09,44.09,1533333
1958-05-12,43.75,43.75,43.75,43.75,1544444
1958-05-13,43.62,43.62,43.62,43.62,1633333
1958-05-14,43.12,43.12,43.12,43.12,1700000
1958-05-15,43.34,43.34,43.34,43.34,1372222
1958-05-16,43.36,43.36,43.36,43.36,1127778
1958-05-19,43.24,43.24,43.24,43.24,1061111
1958-05-20,43.61,43.61,43.61,43.61,1388889
1958-05-21,43.55,43.55,43.55,43.55,1433333
1958-05-22,43.78,43.78,43.78,43.78,1638889
1958-05-23,43.87,43.87,43.87,43.87,1427778
1958-05-26,43.85,43.85,43.85,43.85,1388889
1958-05-27,43.79,43.79,43.79,43.79,1211111
1958-05-28,43.85,43.85,43.85,43.85,1255556
1958-05-29,44.09,44.09,44.09,44.09,1305556
1958-06-02,44.31,44.31,44.31,44.31,1538889
1958-06-03,44.46,44.46,44.46,44.46,1544444
1958-06-04,44.5,44.5,44.5,44.5,1494444
1958-06-05,44.55,44.55,44.55,44.55,1444444
1958-06-06,44.64,44.64,44.64,44.64,1488889
1958-06-09,44.57,44.57,44.57,44.57,1322222
1958-06-10,44.48,44.48,44.48,44.48,1327778
1958-06-11,44.49,44.49,44.49,44.49,1427778
1958-06-12,44.75,44.75,44.75,44.75,1533333
1958-06-13,45.02,45.02,45.02,45.02,1722222
1958-06-16,45.18,45.18,45.18,45.18,1594444
1958-06-17,44.94,44.94,44.94,44.94,1638889
1958-06-18,45.34,45.34,45.34,45.34,1466667
1958-06-19,44.61,44.61,44.61,44.61,1494444
1958-06-20,44.85,44.85,44.85,44.85,1438889
1958-06-23,44.69,44.69,44.69,44.69,1300000
1958-06-24,44.52,44.52,44.52,44.52,1422222
1958-06-25,44.63,44.63,44.63,44.63,1511111
1958-06-26,44.84,44.84,44.84,44.84,1616667
1958-06-27,44.9,44.9,44.9,44.9,1555556
1958-06-30,45.24,45.24,45.24,45.24,1566667
1958-07-01,45.28,45.28,45.28,45.28,1444444
1958-07-02,45.32,45.32,45.32,45.32,1316667
1958-07-03,45.47,45.47,45.47,45.47,1461111
1958-07-07,45.62,45.62,45.62,45.62,1394444
1958-07-08,45.4,45.4,45.4,45.4,1350000
