"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-5-6","12,144.66","12,246.83","12,358.42","11,990.15","1.09B","-1.40%"
"2022-5-5","12,317.69","12,787.52","12,787.52","12,183.56","1.10B","-4.99%"
"2022-5-4","12,964.86","12,574.73","12,985.01","12,367.02","1.11B","3.19%"
"2022-5-3","12,563.76","12,511.46","12,645.83","12,460.99","897.83M","0.22%"
"2022-5-2","12,536.02","12,331.69","12,542.54","12,202.41","1.04B","1.63%"
"2022-4-29","12,334.64","12,710.42","12,861.83","12,315.74","1.09B","-4.17%"
"2022-4-28","12,871.53","12,712.86","12,948.52","12,487.86","1.01B","3.06%"
"2022-4-27","12,488.93","12,500.88","12,703.79","12,430.90","942.84M","-0.01%"
"2022-4-26","12,490.74","12,918.04","12,918.04","12,490.74","1.02B","-3.95%"
"2022-4-25","13,004.85","12,749.17","13,011.45","12,722.59","988.04M","1.29%"
"2022-4-22","12,839.29","13,168.80","13,212.61","12,828.02","950.70M","-2.55%"
"2022-4-21","13,174.65","13,623.70","13,710.70","13,140.83","993.83M","-2.07%"
"2022-4-20","13,453.07","13,665.38","13,678.55","13,426.13","871.26M","-1.22%"
"2022-4-19","13,619.66","13,312.44","13,643.97","13,281.22","855.29M","2.15%"
"2022-4-18","13,332.36","13,319.39","13,414.27","13,222.03","832.41M","-0.14%"
"2022-4-14","13,351.08","13,647.42","13,662.93","13,345.22","927.38M","-2.14%"
"2022-4-13","13,643.59","13,373.12","13,679.43","13,353.66","910.79M","2.03%"
"2022-4-12","13,371.57","13,584.69","13,685.95","13,317.74","902.42M","-0.30%"
"2022-4-11","13,411.96","13,547.29","13,585.08","13,401.39","991.30M","-2.18%"
"2022-4-8","13,711.00","13,830.47","13,866.06","13,693.69","858.45M","-1.34%"
"2022-4-7","13,897.30","13,861.49","13,978.25","13,689.23","931.35M","0.06%"
"2022-4-6","13,888.82","14,002.58","14,032.84","13,788.90","1.09B","-2.22%"
"2022-4-5","14,204.17","14,490.26","14,500.29","14,169.12","930.40M","-2.26%"
"2022-4-4","14,532.55","14,304.35","14,534.38","14,286.45","915.41M","1.90%"
"2022-4-1","14,261.50","14,269.53","14,306.94","14,131.81","1.02B","0.29%"
"2022-3-31","14,220.52","14,444.78","14,456.74","14,217.72","1.10B","-1.54%"
"2022-3-30","14,442.28","14,558.59","14,609.25","14,383.45","1.01B","-1.21%"
"2022-3-29","14,619.64","14,500.39","14,646.90","14,419.40","1.09B","1.84%"
"2022-3-28","14,354.90","14,177.21","14,356.00","14,101.34","892.94M","1.31%"
"2022-3-25","14,169.30","14,194.72","14,218.76","14,010.79","941.78M","-0.16%"
"2022-3-24","14,191.84","14,001.32","14,193.55","13,897.20","916.74M","1.93%"
"2022-3-23","13,922.60","13,990.35","14,152.14","13,921.65","961.73M","-1.32%"
"2022-3-22","14,108.82","13,866.43","14,141.07","13,857.29","1.10B","1.95%"
"2022-3-21","13,838.46","13,860.39","13,945.80","13,682.55","1.14B","-0.40%"
"2022-3-18","13,893.84","13,564.63","13,899.28","13,528.06","2.85B","2.05%"
"2022-3-17","13,614.78","13,360.72","13,620.80","13,317.14","1.14B","1.33%"
"2022-3-16","13,436.55","13,119.37","13,440.12","12,992.20","1.41B","3.77%"
"2022-3-15","12,948.62","12,685.23","12,973.88","12,616.59","1.13B","2.92%"
"2022-3-14","12,581.22","12,795.12","12,918.01","12,555.35","1.21B","-2.04%"
"2022-3-11","12,843.81","13,229.77","13,239.35","12,830.37","1.02B","-2.18%"
"2022-3-10","13,129.96","13,098.35","13,163.50","12,946.28","961.59M","-0.95%"
"2022-3-9","13,255.55","13,113.70","13,301.16","13,039.79","1.12B","3.59%"
"2022-3-8","12,795.55","12,800.04","13,159.44","12,670.08","1.34B","-0.28%"
"2022-3-7","12,830.96","13,328.36","13,353.28","12,828.02","1.29B","-3.62%"
"2022-3-4","13,313.44","13,455.23","13,486.71","13,224.98","1.04B","-1.66%"
"2022-3-3","13,537.94","13,837.59","13,837.59","13,472.64","1.03B","-1.56%"
"2022-3-2","13,752.02","13,597.53","13,796.55","13,493.91","1.03B","1.62%"
"2022-3-1","13,532.46","13,716.70","13,777.04","13,441.32","1.24B","-1.59%"
"2022-2-28","13,751.40","13,570.83","13,810.64","13,549.90","1.39B","0.41%"
"2022-2-25","13,694.62","13,485.26","13,696.86","13,358.29","978.45M","1.64%"
"2022-2-24","13,473.58","12,587.88","13,486.11","12,587.88","1.38B","3.34%"
"2022-2-23","13,037.49","13,511.75","13,533.78","13,032.17","944.40M","-2.57%"
"2022-2-22","13,381.52","13,424.36","13,618.71","13,249.65","1.02B","-1.23%"
"2022-2-18","13,548.07","13,735.40","13,762.40","13,465.56","1.02B","-1.23%"
"2022-2-17","13,716.72","14,004.19","14,020.82","13,704.70","922.82M","-2.88%"
"2022-2-16","14,124.09","14,038.92","14,163.73","13,931.99","838.99M","-0.11%"
"2022-2-15","14,139.76","13,997.18","14,142.49","13,976.29","903.09M","2.53%"
"2022-2-14","13,790.92","13,768.97","13,921.71","13,664.76","936.80M","0.00%"
"2022-2-11","13,791.15","14,213.62","14,246.70","13,733.16","1.08B","-2.78%"
"2022-2-10","14,185.64","14,228.68","14,509.56","14,118.20","1.06B","-2.10%"
"2022-2-9","14,490.37","14,368.16","14,490.72","14,330.87","935.01M","2.08%"
"2022-2-8","14,194.46","13,984.43","14,226.48","13,934.78","865.50M","1.28%"
"2022-2-7","14,015.67","14,118.79","14,236.31","13,974.10","858.02M","-0.58%"
"2022-2-4","14,098.01","13,958.48","14,222.76","13,850.39","862.97M","1.58%"
"2022-2-3","13,878.82","14,045.83","14,207.88","13,851.75","945.51M","-3.74%"
"2022-2-2","14,417.55","14,494.47","14,504.82","14,264.65","1.00B","0.50%"
"2022-2-1","14,346.00","14,277.43","14,358.69","14,070.77","962.00M","0.75%"
"2022-1-31","14,239.88","13,812.19","14,242.90","13,767.71","1.24B","3.41%"
"2022-1-28","13,770.57","13,436.71","13,771.91","13,236.55","1.06B","3.13%"
"2022-1-27","13,352.78","13,710.99","13,765.91","13,322.66","1.07B","-1.40%"
"2022-1-26","13,542.12","13,871.77","14,002.65","13,392.19","1.18B","0.02%"
"2022-1-25","13,539.29","13,610.87","13,781.62","13,414.14","1.04B","-2.28%"
"2022-1-24","13,855.13","13,481.50","13,876.61","13,094.65","1.55B","0.63%"
"2022-1-21","13,768.92","14,046.22","14,171.72","13,764.24","1.32B","-2.72%"
"2022-1-20","14,154.02","14,462.85","14,642.03","14,140.78","1.02B","-1.30%"
"2022-1-19","14,340.25","14,582.22","14,658.89","14,331.65","935.06M","-1.15%"
"2022-1-18","14,506.90","14,681.83","14,740.54","14,482.94","1.06B","-2.60%"
"2022-1-14","14,893.75","14,708.02","14,897.67","14,689.43","872.56M","0.59%"
"2022-1-13","14,806.81","15,245.04","15,259.71","14,782.24","852.15M","-2.51%"
"2022-1-12","15,188.39","15,263.10","15,319.03","15,117.29","840.02M","0.23%"
"2022-1-11","15,153.45","14,919.26","15,158.71","14,837.63","863.02M","1.41%"
"2022-1-10","14,942.83","14,751.78","14,953.86","14,530.23","1.09B","0.05%"
"2022-1-7","14,935.90","15,095.72","15,171.02","14,877.63","852.53M","-0.96%"
"2022-1-6","15,080.87","15,024.15","15,198.45","14,914.87","951.12M","-0.13%"
"2022-1-5","15,100.17","15,547.16","15,586.30","15,095.18","1.01B","-3.34%"
"2022-1-4","15,622.72","15,852.14","15,852.14","15,512.41","970.70M","-1.33%"
"2022-1-3","15,832.80","15,732.50","15,832.80","15,644.09","871.65M","1.20%"
"2021-12-31","15,644.97","15,722.91","15,777.43","15,643.93","729.41M","-0.61%"
"2021-12-30","15,741.56","15,758.98","15,868.09","15,729.16","768.18M","-0.16%"
"2021-12-29","15,766.22","15,794.92","15,821.81","15,679.85","699.59M","-0.10%"
"2021-12-28","15,781.72","15,895.20","15,901.47","15,757.07","691.47M","-0.56%"
"2021-12-27","15,871.26","15,696.83","15,871.40","15,696.83","741.10M","1.39%"
"2021-12-23","15,653.37","15,544.79","15,697.98","15,528.91","746.13M","0.85%"
"2021-12-22","15,521.89","15,319.16","15,525.97","15,303.06","783.47M","1.18%"
"2021-12-21","15,341.09","15,140.43","15,349.06","15,015.03","976.83M","2.40%"
"2021-12-20","14,980.94","14,933.00","15,007.30","14,860.04","1.02B","-1.24%"
"2021-12-17","15,169.68","15,036.77","15,288.78","14,960.37","3.01B","-0.07%"
"2021-12-16","15,180.43","15,629.08","15,633.19","15,119.49","1.10B","-2.47%"
"2021-12-15","15,565.58","15,230.71","15,575.76","15,055.22","1.17B","2.15%"
"2021-12-14","15,237.64","15,215.96","15,317.55","15,097.35","1.03B","-1.14%"
"2021-12-13","15,413.28","15,621.27","15,637.06","15,408.25","996.25M","-1.39%"
"2021-12-10","15,630.60","15,629.59","15,677.60","15,477.85","875.08M","0.73%"
"2021-12-9","15,517.37","15,720.54","15,796.05","15,511.12","869.50M","-1.71%"
"2021-12-8","15,786.99","15,690.65","15,792.64","15,618.88","921.93M","0.64%"
"2021-12-7","15,686.92","15,510.91","15,720.09","15,507.66","1.06B","3.03%"
"2021-12-6","15,225.15","15,117.63","15,281.99","14,931.61","1.07B","0.93%"
"2021-12-3","15,085.47","15,428.71","15,470.36","14,931.05","1.20B","-1.92%"
"2021-12-2","15,381.32","15,181.82","15,444.54","15,150.12","1.10B","0.83%"
"2021-12-1","15,254.05","15,752.27","15,816.82","15,243.93","1.22B","-1.83%"
"2021-11-30","15,537.69","15,716.50","15,828.20","15,451.38","1.78B","-1.55%"
"2021-11-29","15,782.83","15,719.42","15,833.11","15,644.62","1.01B","1.88%"
"2021-11-26","15,491.66","15,664.38","15,731.54","15,456.09","781.49M","-2.23%"
"2021-11-24","15,845.23","15,677.88","15,848.56","15,591.36","842.33M","0.44%"
"2021-11-23","15,775.14","15,809.50","15,895.86","15,601.46","1.07B","-0.50%"
"2021-11-22","15,854.76","16,120.92","16,212.23","15,851.04","1.13B","-1.26%"
"2021-11-19","16,057.44","16,042.16","16,121.12","16,017.23","1.02B","0.40%"
"2021-11-18","15,993.71","15,973.39","16,010.88","15,848.83","1.08B","0.45%"
"2021-11-17","15,921.57","15,973.62","15,998.57","15,909.39","966.81M","-0.33%"
"2021-11-16","15,973.86","15,840.32","15,989.61","15,825.00","1.01B","0.76%"
"2021-11-15","15,853.85","15,894.82","15,918.45","15,778.31","952.14M","-0.04%"
"2021-11-12","15,860.96","15,752.62","15,874.58","15,705.38","988.93M","1.00%"
"2021-11-11","15,704.28","15,752.08","15,768.03","15,695.77","867.11M","0.52%"
"2021-11-10","15,622.71","15,753.84","15,867.24","15,543.68","989.63M","-1.66%"
"2021-11-9","15,886.54","16,024.13","16,035.21","15,836.68","1.03B","-0.60%"
"2021-11-8","15,982.36","15,995.72","16,038.23","15,961.80","1.06B","0.07%"
