"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2023","13,748.83","13,675.11","13,774.63","13,642.47","920.58M","-0.89%"
"09/06/2023","13,872.47","13,988.81","14,001.95","13,802.42","826.45M","-1.06%"
"09/05/2023","14,020.95","13,994.54","14,060.85","13,945.65","882.28M","-0.08%"
"09/01/2023","14,031.82","14,129.96","14,149.62","13,982.42","820.13M","-0.02%"
"08/31/2023","14,034.97","14,041.54","14,114.67","14,010.48","1.13B","0.11%"
"08/30/2023","14,019.31","13,961.77","14,050.82","13,924.20","829.23M","0.54%"
"08/29/2023","13,943.76","13,687.23","13,959.81","13,677.06","865.54M","1.74%"
"08/28/2023","13,705.13","13,695.36","13,735.98","13,626.64","674.53M","0.84%"
"08/25/2023","13,590.65","13,514.37","13,633.42","13,376.34","782.12M","0.94%"
"08/24/2023","13,463.97","13,834.31","13,834.68","13,462.84","891.76M","-1.87%"
"08/23/2023","13,721.03","13,532.43","13,757.00","13,532.43","811.82M","1.59%"
"08/22/2023","13,505.87","13,593.94","13,598.76","13,484.38","780.24M","0.06%"
"08/21/2023","13,497.59","13,347.26","13,516.86","13,325.59","828.82M","1.56%"
"08/18/2023","13,290.78","13,190.02","13,335.87","13,161.76","980.92M","-0.20%"
"08/17/2023","13,316.93","13,527.30","13,535.09","13,303.44","956.29M","-1.17%"
"08/16/2023","13,474.63","13,593.17","13,644.32","13,473.03","993.03M","-1.15%"
"08/15/2023","13,631.05","13,760.48","13,774.98","13,611.93","816.65M","-1.14%"
"08/14/2023","13,788.33","13,599.00","13,789.16","13,582.49","836.91M","1.05%"
"08/11/2023","13,644.85","13,633.65","13,720.33","13,609.98","842.28M","-0.56%"
"08/10/2023","13,721.03","13,818.25","13,947.16","13,686.51","979.72M","0.12%"
"08/09/2023","13,705.08","13,897.61","13,898.53","13,698.39","1.06B","-1.17%"
"08/08/2023","13,867.19","13,875.45","13,899.74","13,769.34","1.04B","-0.79%"
"08/07/2023","13,977.12","13,972.45","13,997.15","13,864.92","957.81M","0.61%"
"08/04/2023","13,892.07","14,025.96","14,119.22","13,897.93","1.00B","-0.48%"
"08/03/2023","13,959.72","13,899.76","14,032.28","13,881.35","1.03B","-0.10%"
"08/02/2023","13,973.45","14,132.73","14,133.85","13,914.81","1.06B","-2.17%"
"08/01/2023","14,283.91","14,274.93","14,309.21","14,215.64","909.92M","-0.43%"
"07/31/2023","14,346.02","14,337.90","14,370.91","14,292.75","1.08B","0.21%"
"07/28/2023","14,316.66","14,199.83","14,344.35","14,188.10","937.55M","1.90%"
"07/27/2023","14,050.11","14,319.16","14,360.20","14,006.92","1.00B","-0.55%"
"07/26/2023","14,127.28","14,123.52","14,187.35","14,041.95","883.42M","-0.12%"
"07/25/2023","14,144.56","14,093.24","14,201.91","14,092.52","864.05M","0.61%"
"07/24/2023","14,058.87","14,081.63","14,110.15","13,997.12","812.22M","0.19%"
"07/21/2023","14,032.81","14,148.17","14,179.01","14,020.45","1.45B","-0.22%"
"07/20/2023","14,063.31","14,273.29","14,309.92","14,030.62","996.24M","-2.05%"
"07/19/2023","14,358.02","14,398.53","14,446.55","14,317.09","978.62M","0.03%"
"07/18/2023","14,353.64","14,212.25","14,396.69","14,176.11","930.20M","0.76%"
"07/17/2023","14,244.95","14,149.92","14,274.41","14,138.00","914.53M","0.93%"
"07/14/2023","14,113.70","14,166.66","14,232.11","14,081.96","996.35M","-0.18%"
"07/13/2023","14,138.57","14,021.15","14,163.81","14,012.24","962.46M","1.58%"
"07/12/2023","13,918.96","13,915.64","13,963.45","13,842.13","1.01B","1.15%"
"07/11/2023","13,760.70","13,709.82","13,774.83","13,643.32","913.10M","0.55%"
"07/10/2023","13,685.48","13,645.37","13,692.41","13,584.87","1.00B","0.18%"
"07/07/2023","13,660.72","13,668.07","13,804.51","13,656.74","949.89M","-0.13%"
"07/06/2023","13,679.04","13,653.17","13,689.52","13,567.25","1.04B","-0.82%"
"07/05/2023","13,791.65","13,772.10","13,844.50","13,764.25","937.60M","-0.18%"
"07/03/2023","13,816.77","13,798.70","13,839.09","13,773.41","583.70M","0.21%"
"06/30/2023","13,787.92","13,719.98","13,816.67","13,716.16","1.07B","1.45%"
"06/29/2023","13,591.33","13,592.36","13,618.53","13,540.26","871.64M","0.00%"
"06/28/2023","13,591.75","13,506.02","13,654.14","13,495.73","890.52M","0.27%"
"06/27/2023","13,555.67","13,389.25","13,578.80","13,366.97","966.18M","1.65%"
"06/26/2023","13,335.78","13,468.75","13,573.57","13,334.42","936.28M","-1.16%"
"06/23/2023","13,492.52","13,484.10","13,572.18","13,442.65","3.36B","-1.01%"
"06/22/2023","13,630.61","13,443.41","13,631.85","13,441.56","898.27M","0.95%"
"06/21/2023","13,502.20","13,620.87","13,638.57","13,460.94","1.06B","-1.21%"
"06/20/2023","13,667.29","13,642.30","13,711.18","13,561.84","1.13B","-0.16%"
